,学校名,考试方式,院系所,专业,研究方向,学习方式,拟招生人数,政治,外语,业务课一,业务课二
1425,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1426,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(06)光学成像及导航技术,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1427,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1428,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1429,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(07)智能化光电技术及仪器,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1430,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1431,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1432,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(08)光声调控技术,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1433,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1434,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1435,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(09)计算信息材料,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1436,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1437,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1438,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(10)智能结构及系统,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1439,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
1440,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(912)微机原理及应用二
1441,,统考,(008)光电工程学院,(085400)(专业学位)电子信息,(11)微系统（MEMS）技术,全日制,"('专业：40(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(832)电子技术一(含模拟电路、数字电路)
1442,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(834)基础光学
